state_code,county_code,site_num,state,county,city,date_local,co_agi
6,73,1007,California,San Diego,San Diego,1/1/2000,17
6,73,1007,California,San Diego,San Diego,1/2/2000,20
6,73,1007,California,San Diego,San Diego,1/3/2000,30
6,73,1007,California,San Diego,San Diego,1/4/2000,34
6,73,1007,California,San Diego,San Diego,1/5/2000,41
6,73,1007,California,San Diego,San Diego,1/6/2000,39
6,73,1007,California,San Diego,San Diego,1/7/2000,40
6,73,1007,California,San Diego,San Diego,1/8/2000,33
6,73,1007,California,San Diego,San Diego,1/9/2000,41
6,73,1007,California,San Diego,San Diego,1/10/2000,42
6,73,1007,California,San Diego,San Diego,1/11/2000,34
6,73,1007,California,San Diego,San Diego,1/12/2000,30
6,73,1007,California,San Diego,San Diego,1/13/2000,42
6,73,1007,California,San Diego,San Diego,1/14/2000,52
6,73,1007,California,San Diego,San Diego,1/15/2000,44
6,73,1007,California,San Diego,San Diego,1/16/2000,47
6,73,1007,California,San Diego,San Diego,1/17/2000,28
6,73,1007,California,San Diego,San Diego,1/18/2000,36
6,73,1007,California,San Diego,San Diego,1/19/2000,38
6,73,1007,California,San Diego,San Diego,1/20/2000,23
6,73,1007,California,San Diego,San Diego,1/21/2000,8
6,73,1007,California,San Diego,San Diego,1/22/2000,15
6,73,1007,California,San Diego,San Diego,1/23/2000,24
6,73,1007,California,San Diego,San Diego,1/24/2000,27
6,73,1007,California,San Diego,San Diego,1/25/2000,24
6,73,1007,California,San Diego,San Diego,1/26/2000,27
6,73,1007,California,San Diego,San Diego,1/27/2000,34
6,73,1007,California,San Diego,San Diego,1/28/2000,40
6,73,1007,California,San Diego,San Diego,1/29/2000,42
6,73,1007,California,San Diego,San Diego,1/30/2000,24
6,73,1007,California,San Diego,San Diego,1/31/2000,23
6,73,1007,California,San Diego,San Diego,2/1/2000,39
6,73,1007,California,San Diego,San Diego,2/2/2000,40
6,73,1007,California,San Diego,San Diego,2/3/2000,32
6,73,1007,California,San Diego,San Diego,2/4/2000,23
6,73,1007,California,San Diego,San Diego,2/5/2000,11
6,73,1007,California,San Diego,San Diego,2/6/2000,14
6,73,1007,California,San Diego,San Diego,2/7/2000,31
6,73,1007,California,San Diego,San Diego,2/8/2000,28
6,73,1007,California,San Diego,San Diego,2/9/2000,25
6,73,1007,California,San Diego,San Diego,2/10/2000,9
6,73,1007,California,San Diego,San Diego,2/11/2000,11
6,73,1007,California,San Diego,San Diego,2/12/2000,13
6,73,1007,California,San Diego,San Diego,2/13/2000,17
6,73,1007,California,San Diego,San Diego,2/14/2000,11
6,73,1007,California,San Diego,San Diego,2/15/2000,11
6,73,1007,California,San Diego,San Diego,2/16/2000,11
6,73,1007,California,San Diego,San Diego,2/17/2000,15
6,73,1007,California,San Diego,San Diego,2/18/2000,24
6,73,1007,California,San Diego,San Diego,2/19/2000,26
6,73,1007,California,San Diego,San Diego,2/20/2000,9
6,73,1007,California,San Diego,San Diego,2/21/2000,8
6,73,1007,California,San Diego,San Diego,2/22/2000,20
6,73,1007,California,San Diego,San Diego,2/23/2000,22
6,73,1007,California,San Diego,San Diego,2/24/2000,8
6,73,1007,California,San Diego,San Diego,2/25/2000,16
6,73,1007,California,San Diego,San Diego,2/26/2000,24
6,73,1007,California,San Diego,San Diego,2/27/2000,23
6,73,1007,California,San Diego,San Diego,2/29/2000,20
6,73,1007,California,San Diego,San Diego,3/1/2000,14
6,73,1007,California,San Diego,San Diego,3/3/2000,14
6,73,1007,California,San Diego,San Diego,3/4/2000,20
6,73,1007,California,San Diego,San Diego,3/5/2000,11
6,73,1007,California,San Diego,San Diego,3/6/2000,15
6,73,1007,California,San Diego,San Diego,3/7/2000,15
6,73,1007,California,San Diego,San Diego,3/16/2000,14
6,73,1007,California,San Diego,San Diego,3/17/2000,16
6,73,1007,California,San Diego,San Diego,3/18/2000,22
6,73,1007,California,San Diego,San Diego,3/19/2000,33
6,73,1007,California,San Diego,San Diego,3/20/2000,15
6,73,1007,California,San Diego,San Diego,3/21/2000,19
6,73,1007,California,San Diego,San Diego,3/22/2000,20
6,73,1007,California,San Diego,San Diego,3/23/2000,22
6,73,1007,California,San Diego,San Diego,3/24/2000,13
6,73,1007,California,San Diego,San Diego,3/27/2000,7
6,73,1007,California,San Diego,San Diego,3/28/2000,7
6,73,1007,California,San Diego,San Diego,3/29/2000,8
6,73,1007,California,San Diego,San Diego,3/30/2000,10
6,73,1007,California,San Diego,San Diego,3/31/2000,18
6,73,1007,California,San Diego,San Diego,4/1/2000,23
6,73,1007,California,San Diego,San Diego,4/2/2000,16
6,73,1007,California,San Diego,San Diego,4/3/2000,17
6,73,1007,California,San Diego,San Diego,4/4/2000,13
6,73,1007,California,San Diego,San Diego,4/5/2000,11
6,73,1007,California,San Diego,San Diego,4/6/2000,33
6,73,1007,California,San Diego,San Diego,4/7/2000,28
6,73,1007,California,San Diego,San Diego,4/8/2000,51
6,73,1007,California,San Diego,San Diego,4/9/2000,51
6,73,1007,California,San Diego,San Diego,4/10/2000,39
6,73,1007,California,San Diego,San Diego,4/11/2000,41
6,73,1007,California,San Diego,San Diego,4/12/2000,42
6,73,1007,California,San Diego,San Diego,4/13/2000,50
6,73,1007,California,San Diego,San Diego,4/14/2000,5
6,73,1007,California,San Diego,San Diego,4/15/2000,8
6,73,1007,California,San Diego,San Diego,4/16/2000,15
6,73,1007,California,San Diego,San Diego,4/17/2000,11
6,73,1007,California,San Diego,San Diego,4/18/2000,6
6,73,1007,California,San Diego,San Diego,4/19/2000,13
6,73,1007,California,San Diego,San Diego,4/20/2000,17
